gene_id	transcript_id	Sample_TB.2463.31A	Sample_TB.2463.31B	Sample_TB.2463.32A	Sample_TB.2463.32B	Sample_TB.2463.33A	Sample_TB.2463.33B	Sample_TB.2463.34A	Sample_TB.2463.34B	Sample_TB.2463.35A	Sample_TB.2463.35B	Sample_TB.2463.36A	Sample_TB.2463.36B	Sample_TB.2463.37B	Sample_TB.2463.38B	Sample_TB.2463.39B	Sample_TB.2463.40B	Sample_TB.2463.41B	Sample_TB.2463.42B	Sample_TB.2463.43B	Sample_TB.2463.44B	Sample_TB.2463.45B	Sample_TB.2463.46B	Sample_TB.2463.47B	Sample_TB.2463.48B
MSTRG.1	4370_t	0.877584367206514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.1	MSTRG.1.2	0.877584367206514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.10	6112_t	6.46092957208777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.100	7120_t	8.42430348249111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.101	14715_t	1.32611752176909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.102	15221_t	1.98354100166118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.103	10862_t	1.2822105678306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.103	MSTRG.103.2	1.2822105678306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.104	10863_t	8.19255649245147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.105	658_t	0	25.2729104474733	5.1678088874958	13.6441910693578	7.12352359834824	2.45776694773544	11.1690355649566	14.615390855346	12.3579003217427	12.2212225200683	21.7975796531203	27.7847505854473	4.42122825401113	0	9.37736970932737	14.8765575124588	4.0953937136304	12.970312263023	13.9429498866249	3.23046478604389	5.30447008707638	11.569002630903	11.6485952984954	23.5096589434947
MSTRG.106	6329_t	2.15364319069592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.106	MSTRG.106.2	2.15364319069592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.107	9341_t	3.51651364099776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
